datetime,grid_id,value
2018-09-08T08:00:00Z,3A3IE,32.92628176104417
2018-09-08T08:00:00Z,3S31A,18.227048268141495
2018-09-08T08:00:00Z,7II4T,29.30973331949216
2018-09-08T08:00:00Z,8BOQH,15.247705109024052
2018-09-08T08:00:00Z,A2FBI,26.20592587051071
2018-09-08T08:00:00Z,A5WJI,20.057724545715043
2018-09-08T08:00:00Z,B5FKJ,39.57615661209375
2018-09-08T08:00:00Z,C8HH7,10.09862908619704
2018-09-08T08:00:00Z,DJN0F,30.09545438976236
2018-09-08T08:00:00Z,E5P9N,22.203467120016875
2018-09-08T08:00:00Z,FRITQ,35.95701243507198
2018-09-08T08:00:00Z,H96P6,17.418918594649927
2018-09-08T08:00:00Z,HUZ29,30.89761940341022
2018-09-08T08:00:00Z,I677K,57.89097032356099
2018-09-08T08:00:00Z,IUON3,36.51066012242126
2018-09-08T08:00:00Z,JNUQF,24.402816592342802
2018-09-08T08:00:00Z,PG3MI,27.90190173676862
2018-09-08T08:00:00Z,QH45V,11.392551597946836
2018-09-08T08:00:00Z,QJHW4,19.176610024197345
2018-09-08T08:00:00Z,QWDU8,22.063967252216074
2018-09-08T08:00:00Z,VBLD0,18.13226294084754
2018-09-08T08:00:00Z,VDUTN,35.03468804738887
2018-09-08T08:00:00Z,WT52R,14.016647427390426
2018-09-08T08:00:00Z,X5DKW,55.49144139630385
2018-09-08T08:00:00Z,ZP1FZ,22.33404476357812
2018-09-08T08:00:00Z,ZZ8JF,13.745340226707789
2018-09-09T08:00:00Z,3A3IE,26.28902680511362
2018-09-09T08:00:00Z,3S31A,11.700351570245767
2018-09-09T08:00:00Z,7II4T,22.16798493320483
2018-09-09T08:00:00Z,8BOQH,13.683432315870359
2018-09-09T08:00:00Z,A2FBI,21.04971618904181
2018-09-09T08:00:00Z,A5WJI,14.16889125214383
2018-09-09T08:00:00Z,B5FKJ,30.597381918489177
2018-09-09T08:00:00Z,C8HH7,7.4478452033724665
2018-09-09T08:00:00Z,DJN0F,23.35185913528666
2018-09-09T08:00:00Z,E5P9N,18.002537562496812
2018-09-09T08:00:00Z,FRITQ,24.49719112427789
2018-09-09T08:00:00Z,H96P6,15.813398558796212
2018-09-09T08:00:00Z,HUZ29,24.391018575262315
2018-09-09T08:00:00Z,I677K,47.08504051184044
2018-09-09T08:00:00Z,IUON3,27.66606544704755
2018-09-09T08:00:00Z,JNUQF,18.483047888148263
2018-09-09T08:00:00Z,PG3MI,23.4457486500951
2018-09-09T08:00:00Z,QH45V,9.981508932548444
2018-09-09T08:00:00Z,QJHW4,17.31835596804267
2018-09-09T08:00:00Z,QWDU8,17.811085582624077
2018-09-09T08:00:00Z,VBLD0,14.483999397987661
2018-09-09T08:00:00Z,VDUTN,25.6862222502501
2018-09-09T08:00:00Z,WT52R,9.6879422866118
2018-09-09T08:00:00Z,X5DKW,45.51356776229674
2018-09-09T08:00:00Z,ZP1FZ,17.104218591061226
2018-09-09T08:00:00Z,ZZ8JF,8.972080484582133
2018-09-10T08:00:00Z,3A3IE,31.612898468178706
2018-09-10T08:00:00Z,3S31A,12.657219765975405
2018-09-10T08:00:00Z,7II4T,26.467937588269674
2018-09-10T08:00:00Z,8BOQH,15.526505971285998
2018-09-10T08:00:00Z,A2FBI,23.716184311117164
2018-09-10T08:00:00Z,A5WJI,15.666767651769499
2018-09-10T08:00:00Z,B5FKJ,37.26814574138617
2018-09-10T08:00:00Z,C8HH7,9.29138852870157
2018-09-10T08:00:00Z,DJN0F,28.18188320556076
2018-09-10T08:00:00Z,E5P9N,20.985153174413806
2018-09-10T08:00:00Z,FRITQ,34.8920638386392
2018-09-10T08:00:00Z,H96P6,18.298231853414634
2018-09-10T08:00:00Z,HUZ29,30.02242142477276
2018-09-10T08:00:00Z,I677K,60.953500269348886
2018-09-10T08:00:00Z,IUON3,32.84892067310921
2018-09-10T08:00:00Z,JNUQF,23.53587421730016
2018-09-10T08:00:00Z,PG3MI,28.635133909388287
2018-09-10T08:00:00Z,QH45V,12.028735419063041
2018-09-10T08:00:00Z,QJHW4,23.273009245179676
2018-09-10T08:00:00Z,QWDU8,21.941949070410416
2018-09-10T08:00:00Z,VBLD0,17.823948587806225
2018-09-10T08:00:00Z,VDUTN,30.20358809335452
2018-09-10T08:00:00Z,WT52R,12.702417293402801
2018-09-10T08:00:00Z,X5DKW,59.74908921050566
2018-09-10T08:00:00Z,ZP1FZ,19.8448343723525
2018-09-10T08:00:00Z,ZZ8JF,11.485621629898782
2018-09-11T08:00:00Z,3A3IE,30.07110171246692
2018-09-11T08:00:00Z,3S31A,14.147914833640062
2018-09-11T08:00:00Z,7II4T,27.532439811366412
2018-09-11T08:00:00Z,8BOQH,15.934159339409813
2018-09-11T08:00:00Z,A2FBI,25.620939823411092
2018-09-11T08:00:00Z,A5WJI,17.20318796014707
2018-09-11T08:00:00Z,B5FKJ,37.744270040911324
2018-09-11T08:00:00Z,C8HH7,9.549809482455473
2018-09-11T08:00:00Z,DJN0F,28.588071728164284
2018-09-11T08:00:00Z,E5P9N,22.501728436171206
2018-09-11T08:00:00Z,FRITQ,33.42247592999795
2018-09-11T08:00:00Z,H96P6,16.598661191903712
2018-09-11T08:00:00Z,HUZ29,31.212579302980995
2018-09-11T08:00:00Z,I677K,61.43173838220495
